,name,year,genre,country,duration,age_limit,budget,director,rating
968,Поп (2009),2009,драма,Россия,124,16 +,null,Владимир Хотиненко,7.1
969,Золотой компас (2007),2007,приключения,США,113,12 +,180000000,Крис Вайц,6.1
970,Обитель зла 3 (2007),2007,триллер,США,95,18 +,45000000,Рассел Малкэй,6.2
971,Адреналин (2006),2006,триллер,США,88,18 +,12000000,null,6.9
972,50 первых поцелуев (2004),2004,мелодрама,США,99,16 +,75000000,Питер Сигал,6.8
973,Бриджит Джонс: Грани разумного (2004),2004,мелодрама,США,108,18 +,40000000,Бибан Кидрон,6.0
974,Знакомство с Факерами (2004),2004,мелодрама,США,115,12 +,80000000,Джей Роуч,6.4
975,Обитель зла 2: Апокалипсис (2004),2004,триллер,США,94,16 +,45000000,Александр Уитт,6.1
976,Наступит завтра или нет? (2003),2003,драма,Индия,186,12 +,null,Никхил Адвани,7.9
977,28 дней спустя (2002),2002,триллер,Великобритания,113,16 +,8000000,Дэнни Бойл,7.5
978,Мулен Руж (2001),2001,драма,США,123,16 +,50000000,Баз Лурман,7.6
979,Помни (2000),2000,драма,США,113,18 +,9000000,Кристофер Нолан,8.4
980,Бедная Саша (1997),1997,комедия,Россия,95,0 +,null,Тигран Кеосаян,6.7
981,Воздушная тюрьма (1997),1997,триллер,США,115,18 +,75000000,Саймон Уэст,6.9
982,Эйс Вентура: Розыск домашних животных (1994),1994,комедия,США,86,12 +,15000000,Том Шэдьяк,6.9
983,Общество мертвых поэтов (1989),1989,драма,США,128,16 +,16400000,Питер Уир,8.1
984,Собачье сердце (1988),1988,драма,СССР,136,12 +,null,Владимир Бортко,8.5
985,Робокоп (1987),1987,триллер,США,102,16 +,13000000,Пол Верховен,7.6
986,Цельнометаллическая оболочка (1987),1987,драма,США,116,16 +,17000000,Стэнли Кубрик,8.2
987,Зима в Простоквашино (1984),1984,короткометражный,СССР,15,6 +,null,Владимир Попов,8.3
988,Индиана Джонс и Храм Судьбы (1984),1984,боевик,США,118,12 +,28000000,Стивен Спилберг,7.5
989,Бегущий по лезвию (1982),1982,драма,США,117,18 +,28000000,Ридли Скотт,8.1
990,Мужики! (1981),1981,драма,СССР,97,0 +,null,Искра Бабич,7.6
992,Безумный Макс (1979),1979,триллер,Австралия,88,16 +,350000,Джордж Миллер,6.8
995,Белый Бим Черное ухо (1977),1977,драма,СССР,183,6 +,null,Станислав Ростоцкий,8.0
996,"Аты-баты, шли солдаты... (1976)",1976,драма,СССР,87,12 +,null,Леонид Быков,7.7
997,Таксист (1976),1976,драма,США,113,18 +,1300000,Мартин Скорсезе,8.2
998,"Ирония судьбы, или С легким паром! (1975)",1975,мелодрама,СССР,184,0 +,null,Эльдар Рязанов,8.0
999,Горячий снег (1972),1972,военный,СССР,105,12 +,null,Гавриил Егиазаров,6.9
1000,Белорусский вокзал (1971),1971,драма,СССР,95,12 +,null,Андрей Смирнов,7.7
1001,Белое солнце пустыни (1970),1970,драма,СССР,84,16 +,null,Владимир Мотыль,7.6
1002,Берегись автомобиля (1966),1966,комедия,СССР,94,12 +,null,Эльдар Рязанов,8.0
1003,Морозко (1965),1965,мелодрама,СССР,84,12 +,null,Александр Роу,6.3
1004,Нюрнберг (2023),2023,драма,Россия,131,12 +,null,Николай Лебедев,4.8
1005,Мажор. Фильм (2021),2021,комедия,Россия,null,16 +,null,null,5.2
1006,Никто (2021),2021,триллер,США,92,18 +,null,Илья Найшуллер,7.4
1007,Аббатство Даунтон (2019),2019,драма,Великобритания,122,18 +,null,Майкл Энглер,7.4
1008,Босс-молокосос (2017),2017,комедия,США,87,6 +,125000000,Том МакГрат,6.3
1009,На пятьдесят оттенков темнее (2017),2017,драма,США,118,18 +,55000000,Джеймс Фоули,4.6
1010,Счастливого дня смерти (2017),2017,комедия,США,96,18 +,4800000,Кристофер Лэндон,6.6
1011,Джейсон Борн (2016),2016,триллер,США,123,16 +,120000000,Пол Гринграсс,6.6
1012,Ледниковый период: Столкновение неизбежно (2016),2016,комедия,США,94,6 +,105000000,null,5.7
1013,Расплата (2016),2016,драма,США,128,18 +,44000000,Гэвин О’Коннор,7.3
1014,Земля будущего (2015),2015,боевик,США,130,12 +,190000000,Брэд Бёрд,6.4
1015,Хардкор (2015),2015,боевик,Россия,96,18 +,2000000,Илья Найшуллер,6.7
1016,Реальная белка (2014),2014,комедия,США,82,0 +,42000000,Питер Лепениотис,5.7
1017,21 и больше (2013),2013,комедия,США,93,16 +,13000000,null,5.8
1018,Астрал: Глава 2 (2013),2013,триллер,США,105,16 +,5000000,Джеймс Ван,6.6
1019,Елки 3 (2013),2013,комедия,Россия,100,6 +,null,null,5.3
1020,Майор (2013),2013,драма,Россия,99,18 +,2000000,Юрий Быков,7.2
1021,Падение Олимпа (2013),2013,триллер,США,120,16 +,70000000,Антуан Фукуа,6.5
1022,"Поймай толстуху, если сможешь (2013)",2013,комедия,США,111,16 +,35000000,Сет Гордон,5.7
1023,После нашей эры (2013),2013,боевик,США,100,12 +,130000000,М. Найт Шьямалан,4.8
1024,Эпик (2013),2013,мультфильмы,США,102,0 +,100000000,Крис Уэдж,6.6
1025,Эффект колибри (2013),2013,триллер,США,100,12 +,20000000,Стивен Найт,6.2
1026,Клятва (2012),2012,драма,США,104,16 +,30000000,Майкл Сакси,6.8
1027,Мачо и ботан (2012),2012,комедия,США,109,16 +,42000000,null,7.2
1028,Обитель зла: Возмездие (2012),2012,триллер,Германия,96,18 +,65000000,Пол У. С. Андерсон,5.3
1029,Третий лишний (2012),2012,комедия,США,106,16 +,50000000,Сет МакФарлейн,6.9
1030,Экипаж (2012),2012,драма,США,138,18 +,31000000,Роберт Земекис,7.3
1031,"Кожа, в которой я живу (2011)",2011,драма,Испания,117,18 +,13000000,Педро Альмодовар,7.6
1033,Пол: Секретный материальчик (2011),2011,комедия,США,104,16 +,40000000,Грег Моттола,6.9
1034,Битва титанов (2010),2010,боевик,США,102,16 +,125000000,Луи Летерье,5.8
1035,Любовь в большом городе 2 (2010),2010,комедия,Россия,78,16 +,null,Марюс Вайсберг,5.5
1036,На игре 2. Новый уровень (2010),2010,приключения,Россия,86,16 +,3500000,Павел Санаев,5.1
1037,Неуправляемый (2010),2010,триллер,США,94,16 +,100000000,Тони Скотт,6.8
1038,Я плюю на ваши могилы (2010),2010,триллер,США,108,18 +,1500000,Стивен Р. Монро,6.2
1039,Ангелы и Демоны (2009),2009,триллер,США,138,16 +,150000000,Рон Ховард,6.7
1040,Девушка с татуировкой дракона (2009),2009,драма,Германия,152,16 +,13000000,Нильс Арден Оплев,7.8
1041,Ночь в музее 2 (2009),2009,комедия,США,105,12 +,150000000,Шон Леви,6.0
1042,Жена путешественника во времени (2008),2008,драма,США,107,16 +,39000000,Роберт Швентке,7.1
1043,Чтец (2008),2008,драма,США,124,16 +,32000000,Стивен Долдри,7.6
1044,1408 (2007),2007,триллер,США,104,16 +,25000000,Микаэль Хофстрем,6.8
1045,Зачарованная (2007),2007,мелодрама,США,103,12 +,85000000,Кевин Лима,7.1
1046,Старикам тут не место (2007),2007,драма,США,122,16 +,25000000,null,8.2
1047,Кровавый алмаз (2006),2006,драма,США,143,16 +,100000000,Эдвард Цвик,8.0
1048,Охота на пиранью (2006),2006,триллер,Россия,125,16 +,null,Андрей Кавун,6.0
1049,Сайлент Хилл (2006),2006,детектив,США,125,16 +,50000000,Кристоф Ганс,6.5
1050,Сволочи (2006),2006,драма,Россия,98,16 +,2500000,Александр Атанесян,6.0
1051,Жмурки (2005),2005,комедия,Россия,111,16 +,null,Алексей Балабанов,7.2
1052,Превосходство Борна (2004),2004,триллер,США,108,12 +,75000000,Пол Гринграсс,7.7
1053,Тайное окно (2004),2004,триллер,США,96,18 +,40000000,Дэвид Кепп,6.5
1054,Убить Билла 2 (2004),2004,драма,США,137,16 +,30000000,Квентин Тарантино,8.0
1055,Хористы (2004),2004,драма,Германия,95,16 +,null,Кристоф Барратье,7.8
1056,Терминатор 3: Восстание машин (2003),2003,триллер,США,109,16 +,200000000,Джонатан Мостоу,6.3
1057,Город бога (2002),2002,драма,Бразилия,130,18 +,3300000,null,8.6
1058,Интуиция (2001),2001,мелодрама,США,87,12 +,28000000,Питер Челсом,6.8
1059,Как стать принцессой (2001),2001,драма,США,115,0 +,37000000,Гэрри Маршалл,6.4
1060,ДМБ (2000),2000,комедия,Россия,85,16 +,null,Роман Качанов,7.4
1061,Малена (2000),2000,драма,США,109,16 +,null,Джузеппе Торнаторе,7.4
1062,Ноттинг Хилл (1999),1999,мелодрама,США,124,12 +,42000000,Роджер Мичелл,7.2
1063,Сбежавшая невеста (1999),1999,мелодрама,США,116,12 +,70000000,Гэрри Маршалл,5.6
1064,Разум и чувства (1995),1995,драма,США,136,0 +,16500000,Энг Ли,7.7
1065,Путь Карлито (1993),1993,драма,США,144,16 +,30000000,Брайан Де Пальма,7.9
1066,Кудряшка Сью (1991),1991,драма,США,101,12 +,25000000,Джон Хьюз,5.9
1068,Самая обаятельная и привлекательная (1985),1985,мелодрама,СССР,81,16 +,null,Геральд Бежанов,7.4
1069,Вам и не снилось... (1981),1981,драма,СССР,86,16 +,null,Илья Фрэз,7.8
1070,Тот самый Мюнхгаузен (1979),1979,комедия,СССР,134,0 +,null,Марк Захаров,8.3
1071,Экипаж (1979),1979,драма,СССР,144,16 +,null,Александр Митта,7.3
1072,Трое из Простоквашино (1978),1978,детский,СССР,19,0 +,null,Владимир Попов,8.1
1073,Омен (1976),1976,ужасы,США,111,18 +,2800000,Ричард Доннер,7.5
1074,Афоня (1975),1975,мелодрама,СССР,92,12 +,null,Георгий Данелия,7.7
1075,12 стульев (1971),1971,комедия,СССР,153,0 +,null,Леонид Гайдай,8.2
1076,На войне как на войне (1968),1968,драма,СССР,90,12 +,null,Виктор Трегубович,7.9
1077,"Добро пожаловать, или Посторонним вход воспрещен (1964)",1964,комедия,СССР,74,6 +,null,Элем Климов,7.8
1078,Живые и мертвые (1963),1963,драма,СССР,201,12 +,null,Александр Столпер,7.7
1079,Вечера на хуторе близ Диканьки (1961),1961,мелодрама,СССР,66,0 +,null,Александр Роу,7.5
1080,Полосатый рейс (1961),1961,комедия,СССР,84,12 +,null,Владимир Фетин,7.3
1082,Девятаев (2021),2021,драма,Россия,118,12 +,null,null,5.6
1083,Кодекс киллера (2021),2021,триллер,США,120,18 +,null,Мартин Кэмпбелл,6.1
1084,Космический джем: Новое поколение (2021),2021,комедия,США,120,6 +,null,Малкольм Д. Ли,4.5
1085,Красотка на взводе (2021),2021,комедия,США,91,18 +,null,Таня Уэкслер,5.6
1086,Пылающее море (2021),2021,боевик,Норвегия,104,18 +,null,Йон Андреас Андерсен,6.3
1087,Как я стал русским (2019),2019,комедия,Россия,100,16 +,5000000,Акаки Сахелашвили,5.2
1088,Красотка на всю голову (2018),2018,комедия,США,110,18 +,32000000,null,5.7
1089,Монстры на каникулах 3: Море зовет (2018),2018,комедия,США,97,6 +,65000000,Генндий Тартаковский,6.3
1090,Непрощенный (2018),2018,драма,Россия,110,16 +,null,Сарик Андреасян,6.8
1091,Собибор (2018),2018,драма,Россия,110,12 +,7500000,Константин Хабенский,6.4
1092,Хроники хищных городов (2018),2018,фантастика,США,128,12 +,100000000,Кристиан Риверс,6.1
1093,Звездные войны: Последние джедаи (2017),2017,боевик,США,150,16 +,null,Райан Джонсон,6.9
1095,Притяжение (2017),2017,фантастика,Россия,132,12 +,null,Федор Бондарчук,5.6
1096,Трансформеры: Последний рыцарь (2017),2017,триллер,США,149,12 +,217000000,Майкл Бэй,5.2
1097,5-я волна (2016),2016,триллер,США,112,16 +,38000000,Дж. Блэйксон,5.2
1098,В поисках Дори (2016),2016,комедия,США,103,6 +,200000000,null,7.2
1099,Дедушка легкого поведения (2016),2016,комедия,США,102,18 +,null,Дэн Мазер,5.9
1100,Кредо убийцы (2016),2016,боевик,США,115,16 +,125000000,Джастин Курзель,5.6
1101,Невидимый гость (2016),2016,триллер,Испания,106,16 +,null,Ориол Паоло,8.0
1102,Пеле: Рождение легенды (2016),2016,драма,США,107,16 +,null,null,7.1
1103,Пиксели (2015),2015,комедия,США,106,12 +,88000000,Крис Коламбус,5.6
1104,Последние рыцари (2015),2015,боевик,США,115,18 +,null,Казуаки Кирия,6.2
1105,8 новых свиданий (2014),2014,комедия,Россия,86,12 +,2300000,Марюс Вайсберг,5.5
1106,Академия вампиров (2014),2014,комедия,США,104,12 +,null,Марк Уотерс,5.4
1107,Легок на помине (2014),2014,комедия,Россия,79,12 +,null,Евгений Абызов,4.8
1108,Патруль времени (2014),2014,триллер,Австралия,98,16 +,null,null,7.4
1109,Приключения мистера Пибоди и Шермана (2014),2014,комедия,США,90,0 +,145000000,Роб Минкофф,6.7
1110,РобоКоп (2014),2014,боевик,США,118,12 +,100000000,Жозе Падилья,6.1
1111,Снайпер (2014),2014,драма,США,132,18 +,58800000,Клинт Иствуд,7.3
1112,Таймлесс 2: Сапфировая книга (2014),2014,драма,Германия,116,12 +,null,null,6.1
1113,Мерзлая земля (2013),2013,триллер,США,105,16 +,27220000,Скотт Уокер,6.4
1114,На полной скорости (2013),2013,мелодрама,Испания,94,18 +,null,Даниэль Кальпарсоро,5.6
1115,Охотники на гангстеров (2013),2013,драма,США,113,16 +,60000000,Рубен Фляйшер,6.7
1116,Последний рубеж (2013),2013,боевик,США,100,16 +,70000000,Гэри Фледер,6.5
1117,Телекинез (2013),2013,драма,США,100,16 +,30000000,Кимберли Пирс,5.8
1118,В первый раз (2012),2012,драма,США,98,16 +,null,Джон Кэздан,6.8
1119,Гнев титанов (2012),2012,боевик,США,99,16 +,150000000,Джонатан Либесман,5.7
1120,Другой мир: Пробуждение (2012),2012,боевик,США,85,16 +,70000000,null,6.3
1121,Матч (2012),2012,драма,Россия,117,16 +,8000000,Андрей Малюков,5.2
1122,Семь психопатов (2012),2012,комедия,США,110,18 +,15000000,Мартин МакДона,7.1
1123,Синистер (2012),2012,триллер,США,110,18 +,3000000,Скотт Дерриксон,6.8
1124,Шеф (2012),2012,комедия,Испания,85,12 +,null,Дэниэль Коэн,6.6
1125,Артист (2011),2011,драма,Бельгия,100,12 +,15000000,Мишель Хазанавичус,7.8
1126,Елки 2 (2011),2011,комедия,Россия,96,12 +,null,null,6.2
1127,Кунг-фу Панда 2 (2011),2011,комедия,США,91,0 +,150000000,Дженнифер Ю,7.3
1128,Мальчишник 2: Из Вегаса в Бангкок (2011),2011,комедия,США,102,18 +,80000000,Тодд Филлипс,6.5
1129,Полночь в Париже (2011),2011,мелодрама,США,94,18 +,17000000,Вуди Аллен,7.6
1130,Три дня на побег (2010),2010,драма,США,133,16 +,30000000,Пол Хаггис,7.3
1131,На игре (2009),2009,боевик,Россия,97,18 +,3500000,Павел Санаев,5.6
1132,Цветок пустыни (2009),2009,драма,Австрия,120,16 +,null,Шерри Хорманн,7.3
1133,Залечь на дно в Брюгге (2008),2008,драма,США,102,18 +,15000000,Мартин МакДона,7.9
1134,Ограбление на Бейкер-Стрит (2008),2008,драма,США,111,16 +,20000000,Роджер Дональдсон,7.2
1135,Стиляги (2008),2008,драма,Россия,136,16 +,15000000,Валерий Тодоровский,7.0
1136,Сокровище нации: Книга Тайн (2007),2007,триллер,США,124,12 +,130000000,Джон Тёртелтауб,6.5
1137,Такси 4 (2007),2007,комедия,Франция,91,18 +,null,Жерар Кравчик,5.6
1138,Я остаюсь (2007),2007,драма,Россия,113,16 +,1000000,Карен Оганесян,7.3
1139,Не пойман — не вор (2006),2006,драма,США,129,16 +,45000000,Спайк Ли,7.6
1140,Питер FM (2006),2006,мелодрама,Россия,86,12 +,1000000,Оксана Бычкова,7.0
1141,Тачки (2006),2006,комедия,США,117,6 +,120000000,null,7.3
1142,Шаг вперед (2006),2006,драма,США,104,16 +,12000000,Энн Флетчер,6.5
1143,Если свекровь — монстр… (2005),2005,мелодрама,США,101,16 +,43000000,Роберт Лукетич,5.6
1144,Мемуары гейши (2005),2005,драма,США,145,18 +,85000000,Роб Маршалл,7.3
1145,Остров (2005),2005,триллер,США,136,16 +,126000000,Майкл Бэй,6.8
1146,Спуск (2005),2005,приключения,Великобритания,99,16 +,null,Нил Маршалл,7.2
1147,Царство небесное (2005),2005,боевик,США,145,16 +,130000000,Ридли Скотт,7.3
1148,Ночной дозор (2004),2004,триллер,Россия,115,12 +,4200000,Тимур Бекмамбетов,6.4
1149,Хеллбой: Герой из пекла (2004),2004,боевик,США,122,12 +,66000000,Гильермо дель Торо,6.9
1150,Возвращение (2003),2003,драма,Россия,106,12 +,400000,Андрей Звягинцев,7.9
1151,Двойной форсаж (2003),2003,триллер,США,107,12 +,76000000,Джон Синглтон,5.9
1152,Олдбой (2003),2003,драма,Южная Корея,120,18 +,3000000,Пак Чхан-ук,8.3
1153,Кокаин (2001),2001,драма,США,124,16 +,53000000,Тед Демме,7.5
1154,Мисс Конгениальность (2000),2000,комедия,США,110,16 +,45000000,Дональд Питри,6.3
1155,Пункт назначения (2000),2000,триллер,США,98,16 +,23000000,Джеймс Вонг,6.7
1156,Взрыв из прошлого (1999),1999,драма,США,112,16 +,35000000,Хью Уилсон,6.7
1157,Догма (1999),1999,комедия,США,123,16 +,10000000,Кевин Смит,7.3
1158,"Лжец, лжец (1997)",1997,комедия,США,86,0 +,45000000,Том Шэдьяк,6.9
1159,Кавказский пленник (1996),1996,драма,Россия,100,16 +,null,Сергей Бодров,7.5
1160,"Не грози южному централу, попивая сок у себя в квартале (1996)",1996,комедия,США,89,16 +,null,Пэрис Барклай,6.5
1161,Амадей (1984),1984,драма,США,160,18 +,18000000,Милош Форман,8.4
1162,Жестокий романс (1984),1984,драма,СССР,137,12 +,null,Эльдар Рязанов,7.9
1163,Формула любви (1984),1984,мелодрама,СССР,90,0 +,null,Марк Захаров,7.9
1164,Одиноким предоставляется общежитие (1983),1983,мелодрама,СССР,89,6 +,null,Самсон Самсонов,6.8
1165,Падал прошлогодний снег (1983),1983,короткометражный,СССР,20,0 +,null,Александр Татарский,8.3
1166,Покровские ворота (1982),1982,драма,СССР,140,0 +,null,Михаил Козаков,7.9
1167,Каникулы в Простоквашино (1980),1980,мультфильмы,СССР,18,6 +,null,Владимир Попов,8.2
1168,Д'Артаньян и три мушкетера (1979),1979,мелодрама,СССР,250,16 +,null,Георгий Юнгвальд-Хилькевич,7.8
1169,Обыкновенное чудо (1978),1978,комедия,СССР,137,0 +,null,Марк Захаров,8.0
1170,Собака на сене (1977),1977,комедия,СССР,138,12 +,null,Ян Фрид,7.7
1171,Приключения Буратино (1976),1976,комедия,СССР,130,6 +,null,Леонид Нечаев,7.5
1172,Не может быть! (1975),1975,мелодрама,СССР,100,12 +,null,Леонид Гайдай,7.7
1173,Невероятные приключения итальянцев в России (1973),1973,комедия,СССР,104,12 +,null,Эльдар Рязанов,7.5
1174,2001 год: Космическая одиссея (1968),1968,детектив,США,149,12 +,12000000,Стэнли Кубрик,8.3
1175,Золотой теленок (1968),1968,комедия,СССР,174,0 +,null,Михаил Швейцер,8.2
1176,Фантомас (1964),1964,комедия,Италия,100,12 +,null,Андре Юнебель,6.9
1177,Падение Луны (2022),2022,боевик,США,120,18 +,null,Роланд Эммерих,5.2
1178,Дедушка НЕлегкого поведения (2020),2020,комедия,США,94,12 +,null,Тим Хилл,5.7
1179,Обратная связь (2020),2020,комедия,Россия,97,16 +,null,Алексей Нужный,6.1
1180,Плохие парни навсегда (2020),2020,триллер,США,124,18 +,null,null,6.5
1181,Джуманджи: Новый уровень (2019),2019,комедия,США,114,12 +,null,Джейк Кэздан,6.6
1182,Покемон. Детектив Пикачу (2019),2019,боевик,США,104,12 +,null,Роб Леттерман,6.5
1183,Гоголь. Страшная месть (2018),2018,триллер,Россия,106,16 +,null,Егор Баранов,6.1
1184,Кристофер Робин (2018),2018,драма,США,120,6 +,null,Марк Форстер,7.2
1185,Глубоководный горизонт (2016),2016,драма,США,107,16 +,110000000,Питер Берг,7.1
1186,Зверопой (2016),2016,комедия,США,108,6 +,75000000,null,7.1
1187,Инферно (2016),2016,драма,США,128,18 +,75000000,Рон Ховард,6.2
1190,В центре внимания (2015),2015,драма,США,128,18 +,20000000,Том МакКарти,8.1
1191,Голос улиц (2015),2015,драма,США,147,18 +,28000000,Ф. Гэри Грей,7.8
1192,Девушка без комплексов (2015),2015,мелодрама,США,125,18 +,35000000,Джадд Апатоу,6.2
1193,Каникулы (2015),2015,комедия,США,99,16 +,31000000,null,6.2
1194,Красотки в бегах (2015),2015,комедия,США,87,16 +,35000000,Энн Флетчер,5.2
1195,Ночной беглец (2015),2015,драма,США,114,16 +,50000000,Жауме Кольет-Серра,6.6
1196,Хитмэн: Агент 47 (2015),2015,триллер,США,96,16 +,35000000,Александр Бах,5.7
1197,Экстрасенсы (2015),2015,драма,США,101,18 +,40000000,Афонсо Пойарт,6.4
1198,Этот неловкий момент (2015),2015,мелодрама,Бельгия,105,16 +,null,Жан-Франсуа Рише,6.2
1199,Геракл: Начало легенды (2014),2014,боевик,США,99,12 +,70000000,Ренни Харлин,4.3
1200,Левиафан (2014),2014,драма,Россия,141,18 +,null,Андрей Звягинцев,7.6
1201,Навстречу шторму (2014),2014,триллер,США,89,16 +,50000000,Стивен Куэйл,5.8
1202,Она (2013),2013,драма,США,126,16 +,23000000,Спайк Джонс,8.0
1203,Сквозь снег (2013),2013,драма,США,126,18 +,39200000,Пон Джун-хо,7.1
1204,Транс (2013),2013,драма,Великобритания,101,18 +,null,Дэнни Бойл,6.9
1205,Женщина в черном (2012),2012,драма,Канада,95,16 +,17000000,Джеймс Уоткинс,6.4
1206,Параллельные миры (2012),2012,мелодрама,Канада,108,16 +,72000000,Хуан Диего Соланас,6.3
1209,2 дня (2011),2011,драма,Россия,90,16 +,null,Авдотья Смирнова,6.9
1210,Выкрутасы (2011),2011,комедия,Россия,97,12 +,null,Леван Габриадзе,5.9
1211,"Высоцкий. Спасибо, что живой (2011)",2011,драма,Россия,128,16 +,12000000,Петр Буслов,6.4
1212,Миссия невыполнима: Протокол Фантом (2011),2011,триллер,США,133,16 +,145000000,Брэд Бёрд,7.4
1213,Мой парень — ангел (2011),2011,комедия,Россия,97,16 +,2700000,Вера Сторожева,6.6
1214,Очень плохая училка (2011),2011,комедия,США,92,16 +,20000000,Джейк Кэздан,5.7
1215,Секс по дружбе (2011),2011,мелодрама,США,109,16 +,35000000,Уилл Глак,6.5
1216,Каратэ-пацан (2010),2010,драма,США,140,12 +,40000000,Харольд Цварт,6.3
1217,Любовь в большом городе (2009),2009,комедия,Россия,88,16 +,3500000,Марюс Вайсберг,5.7
1218,Милые кости (2009),2009,драма,США,135,16 +,65000000,Питер Джексон,6.6
1219,Пандорум (2009),2009,триллер,Германия,108,16 +,33000000,Кристиан Альварт,6.7
1220,Невероятный Халк (2008),2008,триллер,США,112,16 +,150000000,Луи Летерье,6.6
1221,Искупление (2007),2007,драма,Великобритания,120,18 +,null,Джо Райт,7.8
1222,Ледниковый период 2: Глобальное потепление (2006),2006,мелодрама,США,91,0 +,80000000,Карлос Салдана,6.8
1223,Перевозчик 2 (2005),2005,триллер,США,87,16 +,32000000,Луи Летерье,6.3
1224,Переступить черту (2005),2005,драма,США,136,16 +,28000000,Джеймс Мэнголд,7.8
1225,Губка Боб — квадратные штаны (2004),2004,комедия,США,87,6 +,30000000,null,7.2
1226,Охотники за разумом (2004),2004,триллер,США,106,16 +,27000000,Ренни Харлин,6.3
1227,Сокровище нации (2004),2004,триллер,США,131,12 +,100000000,Джон Тёртелтауб,6.9
1228,Такси 3 (2003),2003,комедия,Франция,84,16 +,1300000,Жерар Кравчик,5.8
1229,Враг государства (1998),1998,драма,США,132,18 +,90000000,Тони Скотт,7.3
1230,101 далматинец (1996),1996,комедия,США,103,0 +,54000000,Стивен Херек,5.8
1231,Крепкий орешек 3: Возмездие (1995),1995,триллер,США,131,16 +,90000000,Джон МакТирнан,7.6
1232,Отец невесты (1991),1991,комедия,США,105,0 +,null,Чарльз Шайер,6.6
1233,Холодное лето пятьдесят третьего (1987),1987,драма,СССР,102,16 +,null,Александр Прошкин,7.8
1234,Человек с бульвара Капуцинов (1987),1987,мелодрама,СССР,98,16 +,null,Алла Сурикова,7.6
1235,Крокодил Данди (1986),1986,комедия,Австралия,97,16 +,null,Питер Фэймен,6.6
1236,Вокзал для двоих (1982),1982,мелодрама,СССР,141,0 +,null,Эльдар Рязанов,7.8
1237,Чародеи (1982),1982,мелодрама,СССР,160,0 +,null,Константин Бромберг,7.1
1238,Укол зонтиком (1980),1980,комедия,Франция,95,16 +,null,Жерар Ури,6.6
1239,Летучий корабль (1979),1979,мелодрама,СССР,18,12 +,null,Гарри Бардин,7.8
1240,Приключения Электроника (1979),1979,комедия,СССР,215,0 +,null,Константин Бромберг,7.5
1241,По семейным обстоятельствам (1978),1978,комедия,СССР,128,6 +,null,Алексей Коренев,7.6
1242,"Свой среди чужих, чужой среди своих (1974)",1974,драма,СССР,93,18 +,null,Никита Михалков,7.3
1243,Винни Пух и день забот (1972),1972,короткометражный,СССР,19,6 +,null,null,8.2
1244,"Варвара-краса, длинная коса (1969)",1969,драма,СССР,85,6 +,null,Александр Роу,7.2
1245,Винни-Пух (1969),1969,детский,СССР,11,0 +,null,Федор Хитрук,8.2
1246,Малыш и Карлсон (1968),1968,мультфильмы,СССР,20,0 +,null,Борис Степанцев,8.0
1247,Смешная девчонка (1968),1968,драма,США,151,12 +,14100000,Уильям Уайлер,7.4
1248,Свадьба в Малиновке (1967),1967,комедия,СССР,95,12 +,null,Андрей Тутышкин,7.3
1249,Хроника пикирующего бомбардировщика (1967),1967,драма,СССР,78,12 +,null,Наум Бирман,7.7
1250,Вовка в Тридевятом царстве (1965),1965,мультфильмы,СССР,19,0 +,null,Борис Степанцев,7.9
1251,Пес Барбос и необычный кросс (1961),1961,комедия,СССР,14,0 +,null,Леонид Гайдай,7.7
1252,Морбиус (2022),2022,триллер,США,104,18 +,null,Даниэль Эспиноса,5.1
1253,Непослушник (2022),2022,комедия,Россия,110,12 +,null,Владимир Котт,5.5
1254,Вечные (2021),2021,драма,США,157,18 +,null,Хлоя Чжао,6.2
1256,Один вдох (2020),2020,драма,Россия,100,12 +,null,Елена Хазанова,6.4
1257,Удивительное путешествие доктора Дулиттла (2020),2020,комедия,США,101,12 +,null,Стивен Гейган,5.6
1258,Чудо-женщина: 1984 (2020),2020,боевик,США,151,12 +,null,Пэтти Дженкинс,5.3
1259,Донбасс. Окраина (2019),2019,драма,Россия,96,12 +,null,Ренат Давлетьяров,3.7
1260,Король Лев (2019),2019,драма,США,118,6 +,null,Джон Фавро,6.8
1261,Живое (2017),2017,триллер,США,103,18 +,58000000,Даниэль Эспиноса,6.6
1262,Тайна 7 сестер (2017),2017,драма,США,123,16 +,null,Томми Виркола,6.8
1263,Angry Birds в кино (2016),2016,комедия,США,97,6 +,73000000,null,6.3
1264,Великая стена (2016),2016,триллер,США,104,12 +,150000000,Чжан Имоу,5.9
1265,Кукла (2016),2016,триллер,США,98,16 +,10000000,Уильям Брент Белл,6.0
1266,Механик: Воскрешение (2016),2016,триллер,США,98,18 +,40000000,Деннис Ганзель,5.7
1267,Парни со стволами (2016),2016,драма,США,114,18 +,45000000,Тодд Филлипс,7.1
1268,128 ударов сердца в минуту (2015),2015,драма,США,96,18 +,6000000,Макс Джозеф,6.2
1269,Астрал 3 (2015),2015,драма,США,97,16 +,10000000,Ли Уоннелл,6.1
1270,Губка Боб в 3D (2015),2015,комедия,США,80,6 +,74000000,Пол Тиббит,6.0
1271,Игра на понижение (2015),2015,драма,США,130,18 +,28000000,Адам МакКей,7.8
1272,Поклонник (2015),2015,триллер,США,91,16 +,4000000,Роб Коэн,4.7
1273,Бердмэн (2014),2014,драма,США,119,16 +,18000000,Алехандро Гонсалес Иньярриту,7.7
